origin_date,forecast_period,metric,actual,predicted,absolute_error,ape
2024-04-30,30_days,Revenue,100120.8994,126315.8454,26194.946,26.1633
2024-04-30,30_days,ROAS,3.1101,4.4245,1.3144,42.2635
2024-04-30,60_days,Revenue,200877.5972,252631.6907,51754.0936,25.764
2024-04-30,60_days,ROAS,3.5807,4.4245,0.8438,23.5653
2024-04-30,90_days,Revenue,331830.2105,378947.5361,47117.3256,14.1992
2024-04-30,90_days,ROAS,3.4186,4.4245,1.0059,29.4242
2024-08-04,30_days,Revenue,156868.4453,137188.9183,19679.527,12.5452
2024-08-04,30_days,ROAS,4.1378,3.3351,0.8027,19.3988
2024-08-04,60_days,Revenue,336722.652,274377.8367,62344.8154,18.5152
2024-08-04,60_days,ROAS,4.3496,3.3351,1.0145,23.3243
2024-08-04,90_days,Revenue,645499.9673,411566.755,233933.2124,36.2406
2024-08-04,90_days,ROAS,4.4901,3.3351,1.155,25.7224
2024-11-09,30_days,Revenue,1942617.8015,313788.2584,1628829.5431,83.8471
2024-11-09,30_days,ROAS,4.2486,4.9001,0.6515,15.3355
2024-11-09,60_days,Revenue,2758834.966,627576.5168,2131258.4492,77.2521
2024-11-09,60_days,ROAS,4.7276,4.9001,0.1725,3.6484
2024-11-09,90_days,Revenue,3011079.3128,941364.7751,2069714.5377,68.7366
2024-11-09,90_days,ROAS,4.9025,4.9001,0.0024,0.0491
2025-02-14,30_days,Revenue,254983.9069,233915.7567,21068.1502,8.2625
2025-02-14,30_days,ROAS,8.736,10.0477,1.3118,15.0155
2025-02-14,60_days,Revenue,586691.383,467831.5135,118859.8695,20.2594
2025-02-14,60_days,ROAS,10.4742,10.0477,0.4265,4.0715
2025-02-14,90_days,Revenue,1065769.1696,701747.2702,364021.8994,34.1558
2025-02-14,90_days,ROAS,10.264,10.0477,0.2163,2.1073
2025-05-21,30_days,Revenue,134880.3501,550254.9856,415374.6355,307.9579
2025-05-21,30_days,ROAS,4.5416,10.7193,6.1776,136.0225
2025-05-21,60_days,Revenue,268434.7774,1100509.9711,832075.1937,309.9729
2025-05-21,60_days,ROAS,4.5884,10.7193,6.1309,133.6182
2025-05-21,90_days,Revenue,422178.0381,1650764.9567,1228586.9186,291.0116
2025-05-21,90_days,ROAS,4.6753,10.7193,6.0439,129.2733
2025-08-26,30_days,Revenue,165540.5118,155411.7764,10128.7353,6.1186
2025-08-26,30_days,ROAS,5.4321,4.8674,0.5647,10.3957
2025-08-26,60_days,Revenue,422810.9403,310823.5529,111987.3875,26.4864
2025-08-26,60_days,ROAS,4.8832,4.8674,0.0158,0.3231
2025-08-26,90_days,Revenue,659679.1394,466235.3293,193443.8101,29.3239
2025-08-26,90_days,ROAS,3.8882,4.8674,0.9792,25.1824
2025-12-01,30_days,Revenue,1807605.8027,643482.13,1164123.6727,64.4014
2025-12-01,30_days,ROAS,5.1952,3.0534,2.1418,41.2269
2025-12-01,60_days,Revenue,2075167.4284,1286964.2601,788203.1683,37.9826
2025-12-01,60_days,ROAS,5.4243,3.0534,2.3709,43.7091
2025-12-01,90_days,Revenue,2404475.2848,1930446.3901,474028.8947,19.7144
2025-12-01,90_days,ROAS,5.5378,3.0534,2.4844,44.8631
2026-03-08,30_days,Revenue,350133.2681,352273.8228,2140.5547,0.6114
2026-03-08,30_days,ROAS,7.2276,5.2773,1.9503,26.9839
2026-03-08,60_days,Revenue,726472.625,704547.6456,21924.9794,3.018
2026-03-08,60_days,ROAS,6.2292,5.2773,0.9519,15.2808
2026-03-08,90_days,Revenue,1069273.7927,1056821.4684,12452.3243,1.1646
2026-03-08,90_days,ROAS,5.7835,5.2773,0.5062,8.7519
